text	object	context	role	section	flag
These values are in line with those presented in @@CITATION, where very low-latency optical data center networks are analyzed and are suitable for applications with very strict delay requirements.	 low-latency  optical  data  center  networks 		B-subj	method	0
Time series randomization has been studied, e.g., in @@CITATION.	@@CITATION		A-subj	method	0
Finally, in Section 7.1 we report some preliminary results in the spirit of recent advances in noise model learning via bilevel optimisation a la @@CITATION.	@@CITATION		A-subj	introduction	0
In a forthcoming work @@CITATION, we will study this question in depth and provide such an algorithm for many important stability notions.	work 		B-subj	method	0
6 CASE STUDY In this section, we demonstrate the usefulness of BOOSTVis by conducting two case studies on a real-world dataset used in the Kaggle competition - Otto Group Product Classification Challenge @@CITATION.	Otto  Group  Product  Classification  Challenge 		A-subj	method	0
The authors in @@CITATION show that FD relaying achieves significantly higher secrecy rates than HD relaying with optimal power allocation considering the amplify-and-forward (AF) relay.	FD  relaying 		B-subj	method	0
The work presented in @@CITATION explores the possibility to optimize the path trading technique between several ASs.	path  trading  technique 		B-subj	method	0
Additional results, including the effect of flow assignment and reassignment, hardware-assisted string matching, and caches are discussed in an extended technical report @@CITATION.	results		B-subj	evaluation	0
Kim et al. @@CITATION investigated the electromechanical coupling by applying an electric field when the cellulose based E Pap was mechanically strained.	electromechanical  coupling 		B-subj	method	0
In this paper, we report some numerical results using the wavelet frame based on tensor product of symmetric quartic B-splines constructed in @@CITATION.	wavelet  frame 		A-subj	abstract	0
Streams, automata, concurrent and stochastic processes, and recursive types have been successfully analyzed using coinductive methods; see @@CITATION and references therein.	Streams,  automata,  concurrent  and  stochastic  processes,  and  recursive  types 		B-subj	introduction	0
One of the first studies of fault analysis on commercial fault-tolerant systems @@CITATION analyzes Tandem System outages with more than 2000 systems in scope.	Tandem  System  outages 		B-subj	related work	0
Agarwal, Aronov, and Suri @@CITATION, in an attempt to gauge the computational complexity of ray shooting, analyzed the maximum stabbing number of polyhedral scenes.	maximum  stabbing  number  of  polyhedral  scenes		B-subj	introduction	0
Prior work in this field dates back to the early 1980s, when Michael Naimark investigated immersive projection environments in art installations @@CITATION.	immersive  projection  environments  in  art  installations 		B-subj	method	0
These matches are also analyzed by Menendez et al. @@CITATION, but they look at the static match information and try to extract behavioral models from them.	matches 		B-subj	unknown	0
@@CITATION conducted an empirical investigation of peopleâ€™s attitudes and practices around security and observed that they display considerable concerns about security as well.	peopleâ€™s  attitudes  and  practices  around  security 		B-subj	introduction	0
It should be pointed out that we do NOT minimize Ec with respect to Âµ, since the color naming function such as that defined by @@CITATION is too complex to be optimized analytically.	@@CITATION 		B-subj	method	1
@@CITATION discusses several ways in which cross-linguistic comparisons can be exploited to test psycholinguistic hypotheses; the one which will be relevant here is their function as an essential control condition.	cross-linguistic  comparisons 		B-subj	keywords	0
In this context, a more advanced routing algorithm, such as LEACH [3] or TEEN @@CITATION would complicate the discussion with their operational details.	@@CITATION 		B-subj	method	0
We also analyzed the mixing patterns @@CITATION of the HBC graph, in order to measure the tendency of nodes with similar degree to preferably connect to each other.	mixing  patterns 	in  order  to  measure  the  tendency  of  nodes  with  similar  degree  to  preferably  connect  to  each  other	A-subj	method	0
Other approaches @@CITATION propose using a high-level policy language to define and analyze firewall policies and then map this language to filtering rules.	firewall  policies 		B-subj	introduction	0
GapMinder @@CITATION prompted discussion regarding the replaying and animating of the search process to identify and highlight key aspects of the search and meaningful features.	@@CITATION 		B-subj	method	0
Chapter 6 of Mason @@CITATION provides a detailed analysis of the form of electronic signatures and comments on cases illustrating the variability of legal decisions.	electronic  signatures 		B-subj	introduction	0
Their effectiveness has been extensively investigated for use in photorealistic computer graphics applications @@CITATION, such as Monte Carlo integration in 3D ray tracing.	effectiveness 		A-subj	abstract	0
@@CITATION analyze the impact of using standardization, modular design, and process redesign to delay the point of differentiation (PoD) for a product.	standardization,  modular  design,  and  process  redesign 		B-subj	abstract	0
More detailed discussions about the negative binomial and related distributions and the corresponding stochastic processes defined on R+ can be found in Kozubowski and Podgorski @@CITATION .	negative  binomial  and  related  distributions 		B-subj	introduction	0
B. General Synchrony in Prosodic Features We first investigate the general tendency of synchrony, which was reported by Heldner et al. @@CITATION.	tendency  of  synchrony		B-subj	unknown	0
A large body of related work was done by Girardin et al. @@CITATION, who analyzed dynamics of people moving through urban spaces.	dynamics  of  people 		B-subj	related work	0
The effects of these timing parameters and of imperfect channel sniffing on the availability of CDPD streams and AMPS voice blocking probability have been analyzed in @@CITATION.	timing  parameters  and  of  imperfect  channel  sniffing 		A-subj	method	0
Event experiments In our previous experiments ( @@CITATION ) , we analyzed the role that topology plays in the conceptualization of geographic movement patterns .	topology 	in  the  conceptualization  of  geographic  movement  patterns 	B-subj	keywords	0
In our previous work @@CITATION we discussed SDN-based local handover management approach, and our preliminary results have shown some performance improvement of the approach.	SDN-based  local  handover  management  approach		B-subj	method	0
These values are in line with those presented in @@CITATION, where very low-latency optical data center networks are analyzed and are suitable for applications with very strict delay requirements.	low-latency  optical  data  center  networks 		A-subj	method	0
RELATED WORK Past research with transactional workflows has investigated the need to relax ACID properties for long running workflow activities @@CITATION.	ACID  properties 		A-subj	method	0
Reference @@CITATION, on the other hand, investigated the deviations in pursuit eye movement performance when elongated bars of varying lengths were presented which should be tracked by eye.	eye  movement  performance 		B-subj	method	0
Based on its critical role, targeted inhibition of SNAIL proteins has been investigated in pre-clinical setting as a therapeutics strategy to reverse EMT phenotype @@CITATION.	SNAIL  proteins 		A-subj	unknown	0
Because of the uncertain behavior of nanodevices , a few recent papers @@CITATION also discussed the power grid analysis with random current draws from nanodevices .	power  grid  analysis 		B-subj	method	0
CONCLUSIONS Recent work in the literature ( @@CITATION ) showed that automatic static analysis tools signal too many false positive issues , i.e . issues not related to any defect .	automatic  static  analysis  tools 		B-subj	conclusions	0
Although previous studies @@CITATION showed that the selectivity of operators and cardinality estimates are useful features for execution time prediction, the reason why they were not considered in our feature set is discussed in section 4.2.1.	selectivity  of  operators  and  cardinality  estimates 		B-subj	method	0
In @@CITATION, the authors discuss a query-based faceted search for Semantic Web, as a contrast we are mostly dealing with navigational capabilities that can be provided by utilizing the powerful structure introduced by Hasse Diagram.	query-based  faceted  search 		B-subj	method	0
2 Related Work The subject of indirect commands , of which the locative utterances we study are an example , has been extensively analyzed in terms of speech act and decision theory ( @@CITATION ) .	indirect  commands 		B-subj	related work	0
To facilitate our discussion, we now review two popular correlation measures: mutual information (for two columns only) and total correlation (for more than two columns) @@CITATION.	correlation  measures		B-subj	method	0
