text	object	context	role	section	flag
6 Experimental results The implementation of the proposed algorithms is similar to that of @@CITATION.	@@CITATION		A-subj	evaluation	0
Different from @@CITATION, our approach is applied to an optimized detailed placement under any conventional placement metrics.	@@CITATION		A-subj	method	1
We note that the communication complexity of our algorithms scales very well compared with previous algorithms @@CITATION, since it depends mainly on properties of the underlying global popularity distribution and 2 on the desired approximation accuracy.	algorithms 		A-subj	method	0
We compared our algorithm R with the best known algorithms, namely TA [12] and TPUT @@CITATION.	TPUT 		A-subj	abstract	0
We compared our algorithm R with the best known algorithms, namely TA @@CITATION and TPUT [6].	TA 		A-subj	introduction	0
In comparison to our first results @@CITATION, we have introduced efficient context-based learning and parsing, which significantly increases the success rate of the informal-to-formal translation task on the Flyspeck corpus.	results 		A-subj	conclusions	0
• We have evaluated our design using simulations and compared it to Ostra @@CITATION to illustrate our design’s advantages and shortcomings.	Ostra 	to  illustrate  our  design’s  advantages  and  shortcomings	A-subj	method	0
A similar approach in @@CITATION, based on dynamic instantiation in honeynets, showed promising results.	approach 		A-subj	method	0
NUMERICAL RESULTS We now describe some numerical results with which we compare the performance of the and the ILP and graph coloring based algorithm described in @@CITATION.	graph  coloring  based  algorithm 		A-subj	method	0
It compares the purposes with other literature (such as @@CITATION ) where these are called differently.	@@CITATION 		A-subj	keywords	0
(1) Team simulation differs from graph simulation @@CITATION and strong simulation [29] in the existence of capacity bounds on pattern graphs and its ability to capture matches on undirected graphs.	graph  simulation 		A-subj	method	1
(1) Team simulation differs from graph simulation [19] and strong simulation @@CITATION in the existence of capacity bounds on pattern graphs and its ability to capture matches on undirected graphs.	strong  simulation 		A-subj	method	1
These results are consistent with studies that have found little support for the theory @@CITATION.	theory 		A-subj	related work	0
However , except the one of Li CIT , all the other experimental evaluations @@CITATION use Linux implementations of CTCP whose behavior differs from the Windows implementation , according to CIT .	@@CITATION 		B-subj	related work	1
In experiments, our method is favorably compared with the marginalized graph kernel by @@CITATION and the spectral method by Wilson et al. (2005).	marginalized  graph  kernel 		A-subj	abstract	0
In principle, our task is analogous to feature selection for vectors (@@CITATION), however, the difference is that the features (i.e., patterns) are not explicitly listed.	feature  selection  for  vectors 		A-subj	method	0
In experiments, our method is favorably compared with the marginalized graph kernel by Kashima et al. (2003) and the spectral method by @@CITATION.	spectral  method 		A-subj	unknown	0
The analytical results of the average tap energy given by (14) and (17) with IEEE 802.15.3a CM1, CM2, CM3, and CM4 channel parameters specified in @@CITATION are first compared with computer simulations.	channel  parameters 		B-subj	keywords	0
Nevertheless, differently from our previous proposals (as reported in @@CITATION), we annotate each functional parameter with a concept defined in a shared ontology, and we just require the parameter matching to be type compatible.	proposals 		A-subj	method	1
This is in constrast to @@CITATION who use only the raw data extracted from the cell centroids.	@@CITATION 	use  only  the  raw  data  extracted  from  the  cell  centroids	A-subj	method	1
Similarly to the traditional approaches presented in @@CITATION, where readers and tags define ad hoc secrets, the PUF-based approach uses instead the physical structure embedded within tags to generate unique keys.	approaches 		B-subj	method	1
An alternative protocol is presented in @@CITATION.	protocol 		A-subj	evaluation	1
A similar conclusion is reached by Vaziri in his PhD thesis @@CITATION and further publications [16].	conclusion 		B-subj	method	0
