text	object	context	role	section
This algorithm can be seen as an extension of the GrabCut @@CITATION algorithm.	GrabCut 		A-subj	method
I. INTRODUCTION I N this paper, we study variations and extensions of a model introduced and studied in Cover’s seminal work @@CITATION.	model 		A-subj	unknown
This survey was adapted from one developed for use with high school students in previous research studies ( @@CITATION ) .	research  studies 		A-subj	unknown
§This paper expands our work in @@CITATION.	work 		A-subj	related work
It is based on the kernel language Klaim @@CITATION and is inspired by the coordination language Linda [18], hence it relies on the concept of tuple space.	kernel  language  Klaim 		A-subj	introduction
It is based on the kernel language Klaim [14] and is inspired by the coordination language Linda @@CITATION, hence it relies on the concept of tuple space.	coordination  language  Linda 		A-subj	introduction
In this section, we both draw upon our collective experience and earlier work (@@CITATION) and reason deductively to analyse and derive key risks inherent in each area.	work 	 to  analyse  and  derive  key  risks  inherent  in  each  area	A-subj	method
This work details, integrates, and extends with a description of the ConArg tool the research line previously proposed in @@CITATION.	research  line 		A-subj	introduction
Their work was based on the results of Ishihara and Yasuura @@CITATION who formulated the processor energy optimization problem as a discrete optimization problem that could be solved using linear integer programming techniques.	results 		B-subj	related work
The approach is based on a system, which we have published earlier @@CITATION for real-time stitching of the urinary bladder.	system	for  real-time  stitching  of  the  urinary  bladder	A-subj	method
Feature tracking and frame registration This section is based on a recent publication of ours, describing a hybrid tracking approach for real-time stitching during cystoscopy @@CITATION.	hybrid  tracking  approach 		A-subj	method
This paper is an extension of work on Mobile Learning Security Concerns from University Students’ Perspectives, reported in proceedings of the International Conference on Interactive Mobile Communication Technologies and Learning @@CITATION.	Mobile  Learning  Security  Concerns 		A-subj	method
In related work @@CITATION, we extended rrl to capture the magnitude of each rank misordering as well: swapping the rank of two nodes that are 1ms apart is less severe than reordering nodes that are 100ms apart.	rrl 		B-subj	method
Algorithm II Algorithm II is based on our TS heuristic presented for an open VRP described in @@CITATION, 2006).	TS  heuristic 		A-subj	unknown
Considering catalysis and inhibition significantly extends the practical applicability over the original algorithm @@CITATION as demonstrated in the present paper.	algorithm 		A-subj	unknown
