text	object	context	role	section
The interested reader is referred to @@CITATION, where an extensive survey and classification have been proposed.	survey 		B-subj	method
The idea of introducing an intruder was first proposed in @@CITATION in another setting.	intruder 		B-subj	keywords
One solution for this issue it to adopt the Bootstrapping operation, proposed by Gentry @@CITATION.	Bootstrapping  operation		B-subj	method
In this paper, we enhance an ILP model proposed in our previous work @@CITATION.	ILP  model 		B-subj	method
Recently, two new approaches are proposed that are called global optimization @@CITATION.	global  optimization 		B-subj	keywords
Methods to compute the capacity and rate-distortion functions for continuous alphabets were proposed in @@CITATION .	Methods  to  compute  the  capacity  and  rate-distortion  functions 	for  continuous  alphabets 	B-subj	method
Many algorithms have been proposed for NN queries @@CITATION where the value of data is certain.	algorithms 	for  NN  queries 	B-subj	introduction
They are well suited to distributed implementations and several architectures have been proposed @@CITATION.	architectures 		B-subj	method
@@CITATION introduce planar surfaces into the mapper which are often contained in our man-made environments .	planar  surfaces 		B-subj	method
The two papers @@CITATION present Petri nets semantics of the Ï€-calculus.	Petri  nets  semantics 		B-subj	conclusions
The Slow Intelligence approach was first proposed by Shi-Kuo Chang @@CITATION.	Slow  Intelligence  approach 		B-subj	method
Most of the proposed solutions , e.g. , @@CITATION , are based on different forms of logic .	solutions 		B-subj	method
Authors of @@CITATION proposed a dynamic programming method for the buffer insertion problem.	dynamic  programming  method  	for  the  buffer  insertion  problem	B-subj	method
Coppersmith and Odlyzko @@CITATION presented three versions of index calculus method.	index  calculus  method		B-subj	method
In @@CITATION, a recognition system of the driver aggressiveness based on sensor-fusion is presented.	recognition  system  of  the  driver  aggressiveness 		B-subj	method
Several extensions to the basic RRT planner have been proposed to alleviate this issue @@CITATION.	extensions  to  the  basic  RRT  planner 		B-subj	method
Several RSS-based approaches are proposed in @@CITATION, and they are based on calibration to RSS measurement.	RSS-based  approaches 		B-subj	method
Initial results of DMP adaptation methods, expanded on in this paper, were presented in @@CITATION.	DMP  adaptation  methods		B-subj	keywords
Pun @@CITATION first proposed the selection of thresholds using an entropy criterion.	selection  of  thresholds  using  an  entropy  criterion		B-subj	abstract
In @@CITATION, a stereo matching algorithm is presented as a regularized optimization problem.	stereo  matching  algorithm 		B-subj	abstract
@@CITATION introduces Ur/Web, which uses open quotations with a sophisticated type system.	Ur/Web		B-subj	discussions
The use of optimal control formulations for image timeseries has been proposed in @@CITATION.	optimal  control  formulations  for  image  timeseries 		B-subj	method
Then, the first learning approach toward end-to-end localization is proposed in @@CITATION.	learning  approach  toward  end-to-end  localization 		B-subj	introduction
For these reasons, numerous software design methods have been proposed and practiced @@CITATION.	software  design  methods 		B-subj	abstract
Smith, Self and Cheeseman firstly introduced the solution of SLAM in their paper @@CITATION.	SLAM 		B-subj	keywords
We use the Iterative Parameter Mixtures SGD approach as presented in @@CITATION .	Iterative  Parameter  Mixtures  SGD  approach 		B-subj	method
In @@CITATION, reassembly of hand-torn images is proposed based on shape and color.	reassembly  of  hand-torn  images 		B-subj	related work
The anomaly component of the proxy is based on the WebAnomaly system presented in @@CITATION.	WebAnomaly  system 		B-subj	method
Soon after, the first face recognition algorithm that included a CNN was proposed in @@CITATION.	face  recognition  algorithm  that  included  a  CNN 		B-subj	related work
@@CITATION also proposes the hermeneutic relation as a second type of humanâ€”technology dependence.	hermeneutic  relation  as  a  second  type  of  humanâ€”technology  dependence		B-subj	method
Following this idea, @@CITATION proposed a method where windows were randomly sampled over the image.	method 		B-subj	related work
Test automation has been proposed as one solution to reduce testing costs @@CITATION.	Test  automation 	to  reduce  testing  costs 	B-subj	introduction
A discriminative approach is proposed in @@CITATION, in which two kinds of interactions are introduced.	discriminative  approach 		B-subj	method
In Ref. @@CITATION, a hierarchical-clustering routing protocol for wireless networks is presented.	hierarchical-clustering  routing  protocol 	for  wireless  networks 	B-subj	conclusions
Jeong and Dubois introduce the idea of cost sensitive replacement algorithms @@CITATION.	 cost  sensitive  replacement  algorithms 		B-subj	evaluation
Thus, over the last few years, a large number of SR algorithms have been proposed @@CITATION.	SR  algorithms 		B-subj	introduction
The first example is based on variants of the HB protocol, introduced in @@CITATION.	HB  protocol		B-subj	keywords
Multiple Kernel Learning The MKL algorithm was first proposed in @@CITATION.	MKL  algorithm 		B-subj	method
KLT-focused optimizations presented in @@CITATION have been designed to satisfy this proper, particular constraint.	KLT-focused  optimizations 		B-subj	method
An efficient initialization scheme was proposed to accelerate the training procedure @@CITATION.	efficient  initialization  scheme 	to  accelerate  the  training  procedure 	B-subj	introduction
Storage operators were introduced in @@CITATION in order to avoid this, and to simulate call-by-value, when necessary.	Storage  operators 	to  simulate  call-by-value	B-subj	abstract
It consists of a combination of forward differences and central differences as proposed by @@CITATION.	combination  of  forward  differences  and  central  differences 		B-subj	unknown
To create this functionality, a number of cross-domain recommendation methods have been proposed @@CITATION.	cross-domain  recommendation  methods 		B-subj	method
The T10 standards @@CITATION were proposed to store data and attributes as objects .	T10  standards 	to  store  data  and  attributes  as  objects 	B-subj	method
