text	object	context	role	section	flag
3.3 The simulation model We developed a simulator in Java using the DESMO-J simulation framework @@CITATION.	DESMO-J  simulation  framework 		A-subj	evaluation	0
The modelling language GAMS 2.0 with the solver CPLEX 7.0 (@@CITATION) was used to solve the mathematical models.	modelling  language  GAMS  2.0 		A-subj	method	0
Results: We first filtered out outliers using the strategy described in @@CITATION.	strategy 		A-subj	evaluation	0
For example, a SIR model was used to simulate the transmission of H1N1 virus [5], Dengue virus @@CITATION and Cholera [3].	SIR  model 	simulate  the  transmission  of  H1N1  virus 	B-subj	keywords	0
For example, a SIR model was used to simulate the transmission of H1N1 virus [5], Dengue virus [2] and Cholera @@CITATION.	SIR  model 	simulate  the  transmission  of  H1N1  virus 	B-subj	keywords	0
For the stochastic implementation the system of equations was transformed into a set of equivalents stochastic processes that were implemented using the Gillespie’s Algorithm @@CITATION.	Gillespie’s  Algorithm 		B-subj	method	0
For example, a SIR model was used to simulate the transmission of H1N1 virus @@CITATION, Dengue virus [2] and Cholera [3].	SIR  model 		B-subj	keywords	0
3.1 Modelling the Spread of Leprosy For simulating the spread dynamics of leprosy, it was used the SIR mathematical model @@CITATION.	SIR  mathematical  model 		A-subj	method	0
A pre-defined structure of twelve compartments was used in other work @@CITATION to represent health conditions with respect to leprosy, and flows from these compartments are calculated according to Markov transition rates.	other  work 	to  represent  health  conditions  with  respect  to  leprosy,  and  flows  from  these  compartments  are  calculated  according  to  Markov  transition  rates	B-subj	introduction	0
This model has been implemented and tested with the MRE Project @@CITATION.	MRE  Project 		A-subj	introduction	0
We consider the computational model @@CITATION to compute the visual salience of each object that is measured by observing individual visual attributes (e.g., size, shape, and color).	computational  model 	to  compute  the  visual  salience  of  each  object  that  is  measured  by  observing  individual  visual  attributes 	A-subj	introduction	0
We compute the SNR exponent @@CITATION for the buffered transmission.	SNR  exponent 	for  the  buffered  transmission	A-subj	method	0
We defined the figure of merit of distortion exponent @@CITATION with bandwidth ratio η: α(η) = − lim ρ→inf logD(ρ, η) log ρ .	distortion  exponent 	with  bandwidth  ratio  η:  α(η)  =  −  lim  ρ→inf  logD(ρ,  η)  log  ρ 	A-subj	method	0
Let the score function () be the tree level ranking function used in SPARK @@CITATION, and the aggregate function be   sum.	ranking  function 		B-subj	method	0
The tree level ranking function used in SPARK @@CITATION is such an algebraic function based on tfwðT Þ and idfw.	ranking  function 		B-subj	method	0
3) We apply fluvial erosion and a landsliding algorithm @@CITATION to shape the terrain during mountain growth due to uplift (Section 6).	fluvial  erosion  and  a  landsliding  algorithm 	to  shape  the  terrain  during  mountain  growth  due  to  uplift 	A-subj	method	0
To simulate the 2D compression, we adapt an existing model of viscous virtual plasticine @@CITATION.	model  of  viscous  virtual  plasticine 		A-subj	method	0
Folds are generated using sinusoidal interpolation @@CITATION between skeletal curves computed among the edges of a random 2D grid, and then used to compute ui, as described below.	sinusoidal  interpolation 	between  skeletal  curves  computed  among  the  edges  of  a  random  2D  grid,  and  then  used  to  compute  ui,  as  described  below	A-subj	method	0
Section 4 provides a rigorous mathematical justification of the homogenization process by using the method of two-scale convergence @@CITATION .	method  of  two-scale  convergence 		A-subj	method	0
Here , we prove a convergence result using the two-scale convergence method @@CITATION .	two-scale  convergence  method 		A-subj	method	0
To establish our strong convergence result we rely on the usual energy convergence trick (as described in @@CITATION in the context of two-scale convergence) which is inspired from the notion of Γ-convergence [17].	energy  convergence  trick 	in  the  context  of  two-scale  convergence	A-subj	method	0
Here , we prove a convergence result using the two-scale convergence method @@CITATION .	two-scale  convergence  method 		A-subj	method	0
Moreover, the application is developed with AIBench, an open-source Java desktop application framework @@CITATION, to ensure a flexible, cross-platform and interoperable development suitable to sustain future interactions with other Biofilms-related tools.	AIBench	to  ensure  a  flexible,  cross-platform  and  interoperable  development  suitable  to  sustain  future  interactions  with  other  Biofilms-related  tools	A-subj	method	0
The application was developed with AIBen application framework for scientific software developm ional biomedicine @@CITATION.	AIBen  application  framework 		A-subj	method	0
First, using the technique of Rasiowa-Sikorski from @@CITATION, we design a sound and complete system R-S.	technique 		A-subj	abstract	0
We used Gradient Information (GI) @@CITATION as a similarity metric and the CMA-ES algorithm [5] as an optimizer.	Gradient  Information 	as  a  similarity  metric 	A-subj	method	0
We used Gradient Information (GI) [4] as a similarity metric and the CMA-ES algorithm @@CITATION as an optimizer.	CMA-ES  algorithm 	as  an  optimizer	A-subj	method	0
Performance Evaluation Performance of the proposed method was evaluated with a clinical CT dataset from The Cancer Imaging Archive (TCIA) provided by National Cancer Institute (NCI) @@CITATION.	clinical  CT  dataset 		A-subj	method	1
We represent a DRSpace using Design Structure Matrix (DSM) @@CITATION, a square matrix whose rows and columns are labeled with the files of the DRSpace in the same order.	Design  Structure  Matrix  (DSM) 	a  square  matrix  whose  rows  and  columns  are  labeled  with  the  files  of  the  DRSpace  in  the  same  order	A-subj	abstract	0
A Contextual Framework for a Shared Context For modeling and representing contextual linking, we follow the operational definition of @@CITATION for determining the design space of context models.	operational  definition 	for  determining  the  design  space  of  context  models	A-subj	keywords	0
EEG Analysis Preprocessing Data analysis was performed using EEGLAB v9.0.4.4b (@@CITATION), a free open source toolbox running under Matlab version 7.11.0 (R2010b) in combination with custom scripts.	EEGLAB 		A-subj	method	0
Independent components representing eye blinks, horizontal eye movements, and electrocardiographic artifacts were then semiautomatically identified using CORRMAP (@@CITATION) and removed from all data sets.	CORRMAP 		A-subj	method	0
Data were filtered off-line with a 100-Hz low-pass filter using sinc FIR filters windowed with a Hann window function (@@CITATION), downsampled to 500 Hz, and saved for later use.	Hann  window  function 		A-subj	method	0
In particular, an aspect of transposable elements within a genetic regulatory network (GRN) was explored using an extension of a well-known, simple GRN formalism – random Boolean networks (RBN) [@@CITATION].	random  Boolean  networks  (RBN) 		A-subj	keywords	0
Adaptive A* Adaptive A* (AA*) (@@CITATION) is a replanning algorithm that uses A* to compute a complete solution each time one is needed.	A* 		B-subj	abstract	0
We use a tree of Parzen estimators search algorithm (@@CITATION) to sample from parameter space2 and save all models estimated.	Parzen  estimators  search  algorithm 	to  sample  from  parameter  space2  and  save  all  models  estimated.	A-subj	introduction	0
We take Piao’s GKMS @@CITATION as our example.	Piao’s  GKMS 		B-subj	abstract	0
We take Purushothama’s schemes @@CITATION, both GKMS and HACS, to show the problem.	Purushothama’s  schemes 		B-subj	abstract	0
All attacks were conducted using the Checkmark framework @@CITATION with the specific parameters and the results are presented in Table 1.	Checkmark  framework 	with  the  specific  parameters  and  the  results 	A-subj	method	0
